ID,Site,Time,State,Quality,Reason,Status,Suppression,Type,is_chatter
27,Chatter_Site,05/10/2023 00:00:14,Off,Good,Current Data,,,Sensor,True
28,Chatter_Site,05/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,True
29,Chatter_Site,05/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
30,Chatter_Site,06/10/2023 00:00:21,In Operation,Good,Current Data,,,Sensor,False
31,Chatter_Site,06/10/2023 00:00:26,Off,Good,Current Data,,,Sensor,True
32,Chatter_Site,06/10/2023 00:00:23,In Operation,Good,Current Data,,,Sensor,True
33,Chatter_Site,06/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
34,Chatter_Site,06/10/2023 00:00:27,In Operation,Good,Current Data,,,Sensor,True
35,Chatter_Site,06/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
36,Chatter_Site,07/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,False
37,Chatter_Site,07/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
38,Chatter_Site,07/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,True
39,Chatter_Site,07/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
40,Chatter_Site,07/10/2023 00:00:17,In Operation,Good,Current Data,,,Sensor,True
41,Chatter_Site,08/10/2023 00:00:19,Off,Good,Current Data,,,Sensor,False
42,Chatter_Site,08/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,True
43,Chatter_Site,08/10/2023 00:00:07,Off,Good,Current Data,,,Sensor,True
44,Chatter_Site,08/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
45,Chatter_Site,08/10/2023 00:00:26,Off,Good,Current Data,,,Sensor,True
46,Chatter_Site,08/10/2023 00:00:16,In Operation,Good,Current Data,,,Sensor,True
47,Chatter_Site,08/10/2023 00:00:05,Off,Good,Current Data,,,Sensor,True
48,Chatter_Site,08/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,True
49,Chatter_Site,08/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
50,Chatter_Site,08/10/2023 00:00:06,In Operation,Good,Current Data,,,Sensor,True
51,Chatter_Site,08/10/2023 00:00:25,Off,Good,Current Data,,,Sensor,True
52,Chatter_Site,08/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,True
53,Chatter_Site,09/10/2023 00:00:00,In Operation,Good,Current Data,,,Sensor,False
54,Chatter_Site,09/10/2023 00:00:10,Off,Good,Current Data,,,Sensor,True
55,Chatter_Site,09/10/2023 00:00:12,In Operation,Good,Current Data,,,Sensor,True
56,Chatter_Site,09/10/2023 00:00:09,Off,Good,Current Data,,,Sensor,True
57,Chatter_Site,09/10/2023 00:00:08,In Operation,Good,Current Data,,,Sensor,True
58,Chatter_Site,09/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
59,Chatter_Site,10/10/2023 00:00:15,Off,Good,Current Data,,,Sensor,False
60,Chatter_Site,10/10/2023 00:00:23,In Operation,Good,Current Data,,,Sensor,True
61,Chatter_Site,10/10/2023 00:00:24,Off,Good,Current Data,,,Sensor,True
62,Chatter_Site,10/10/2023 00:00:16,In Operation,Good,Current Data,,,Sensor,True
63,Chatter_Site,10/10/2023 00:00:05,Off,Good,Current Data,,,Sensor,True
64,Chatter_Site,10/10/2023 00:00:05,In Operation,Good,Current Data,,,Sensor,True
65,Chatter_Site,10/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
66,Chatter_Site,10/10/2023 00:00:24,In Operation,Good,Current Data,,,Sensor,True
67,Chatter_Site,11/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,False
68,Chatter_Site,11/10/2023 00:00:30,Off,Good,Current Data,,,Sensor,True
69,Chatter_Site,11/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
70,Chatter_Site,11/10/2023 00:00:05,Off,Good,Current Data,,,Sensor,True
71,Chatter_Site,11/10/2023 00:00:20,In Operation,Good,Current Data,,,Sensor,True
72,Chatter_Site,11/10/2023 00:00:23,Off,Good,Current Data,,,Sensor,True
73,Chatter_Site,11/10/2023 00:00:23,In Operation,Good,Current Data,,,Sensor,True
74,Chatter_Site,11/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
75,Chatter_Site,11/10/2023 00:00:18,In Operation,Good,Current Data,,,Sensor,True
76,Chatter_Site,11/10/2023 00:00:18,Off,Good,Current Data,,,Sensor,True
77,Chatter_Site,12/10/2023 00:00:20,Off,Good,Current Data,,,Sensor,False
78,Chatter_Site,12/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
79,Chatter_Site,12/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
80,Chatter_Site,12/10/2023 00:00:15,In Operation,Good,Current Data,,,Sensor,True
81,Chatter_Site,12/10/2023 00:00:21,Off,Good,Current Data,,,Sensor,True
82,Chatter_Site,12/10/2023 00:00:30,In Operation,Good,Current Data,,,Sensor,True
83,Chatter_Site,12/10/2023 00:00:24,Off,Good,Current Data,,,Sensor,True
84,Chatter_Site,12/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
85,Chatter_Site,12/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
86,Chatter_Site,12/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,True
87,Chatter_Site,12/10/2023 00:00:04,Off,Good,Current Data,,,Sensor,True
88,Chatter_Site,13/10/2023 00:00:13,Off,Good,Current Data,,,Sensor,False
89,Chatter_Site,13/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,True
90,Chatter_Site,13/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
91,Chatter_Site,13/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,True
92,Chatter_Site,13/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
93,Chatter_Site,13/10/2023 00:00:05,In Operation,Good,Current Data,,,Sensor,True
94,Chatter_Site,13/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
95,Chatter_Site,13/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,True
96,Chatter_Site,13/10/2023 00:00:22,Off,Good,Current Data,,,Sensor,True
97,Chatter_Site,13/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,True
98,Chatter_Site,13/10/2023 00:00:30,Off,Good,Current Data,,,Sensor,True
99,Chatter_Site,13/10/2023 00:00:06,In Operation,Good,Current Data,,,Sensor,True
100,Chatter_Site,13/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
101,Chatter_Site,14/10/2023 00:00:13,In Operation,Good,Current Data,,,Sensor,False
102,Chatter_Site,14/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
103,Chatter_Site,14/10/2023 00:00:29,In Operation,Good,Current Data,,,Sensor,True
104,Chatter_Site,14/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
105,Chatter_Site,14/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
106,Chatter_Site,14/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
107,Chatter_Site,14/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
108,Chatter_Site,15/10/2023 00:00:08,In Operation,Good,Current Data,,,Sensor,False
109,Chatter_Site,15/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
110,Chatter_Site,15/10/2023 00:00:04,In Operation,Good,Current Data,,,Sensor,True
111,Chatter_Site,15/10/2023 00:00:14,Off,Good,Current Data,,,Sensor,True
112,Chatter_Site,15/10/2023 00:00:14,In Operation,Good,Current Data,,,Sensor,True
113,Chatter_Site,15/10/2023 00:00:09,Off,Good,Current Data,,,Sensor,True
114,Chatter_Site,15/10/2023 00:00:08,In Operation,Good,Current Data,,,Sensor,True
115,Chatter_Site,15/10/2023 00:00:01,Off,Good,Current Data,,,Sensor,True
116,Chatter_Site,15/10/2023 00:00:20,In Operation,Good,Current Data,,,Sensor,True
117,Chatter_Site,15/10/2023 00:00:20,Off,Good,Current Data,,,Sensor,True
118,Chatter_Site,15/10/2023 00:00:20,In Operation,Good,Current Data,,,Sensor,True
119,Chatter_Site,15/10/2023 00:00:04,Off,Good,Current Data,,,Sensor,True
120,Chatter_Site,15/10/2023 00:00:04,In Operation,Good,Current Data,,,Sensor,True
121,Chatter_Site,15/10/2023 00:00:28,Off,Good,Current Data,,,Sensor,True
122,Chatter_Site,15/10/2023 00:00:18,In Operation,Good,Current Data,,,Sensor,True
123,Chatter_Site,16/10/2023 00:00:15,In Operation,Good,Current Data,,,Sensor,False
124,Chatter_Site,16/10/2023 00:00:30,Off,Good,Current Data,,,Sensor,True
125,Chatter_Site,16/10/2023 00:00:21,In Operation,Good,Current Data,,,Sensor,True
126,Chatter_Site,16/10/2023 00:00:18,Off,Good,Current Data,,,Sensor,True
127,Chatter_Site,16/10/2023 00:00:24,In Operation,Good,Current Data,,,Sensor,True
128,Chatter_Site,16/10/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
129,Chatter_Site,16/10/2023 00:00:18,In Operation,Good,Current Data,,,Sensor,True
130,Chatter_Site,16/10/2023 00:00:08,Off,Good,Current Data,,,Sensor,True
131,Chatter_Site,16/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
132,Chatter_Site,17/10/2023 00:00:16,Off,Good,Current Data,,,Sensor,False
133,Chatter_Site,17/10/2023 00:00:15,In Operation,Good,Current Data,,,Sensor,True
134,Chatter_Site,17/10/2023 00:00:16,Off,Good,Current Data,,,Sensor,True
135,Chatter_Site,17/10/2023 00:00:14,In Operation,Good,Current Data,,,Sensor,True
136,Chatter_Site,17/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
137,Chatter_Site,17/10/2023 00:00:29,In Operation,Good,Current Data,,,Sensor,True
138,Chatter_Site,17/10/2023 00:00:24,Off,Good,Current Data,,,Sensor,True
139,Chatter_Site,17/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,True
140,Chatter_Site,18/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,False
141,Chatter_Site,18/10/2023 00:00:22,Off,Good,Current Data,,,Sensor,True
142,Chatter_Site,18/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
143,Chatter_Site,18/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
144,Chatter_Site,18/10/2023 00:00:00,In Operation,Good,Current Data,,,Sensor,True
145,Chatter_Site,19/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,False
146,Chatter_Site,19/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
147,Chatter_Site,19/10/2023 00:00:27,In Operation,Good,Current Data,,,Sensor,True
148,Chatter_Site,19/10/2023 00:00:28,Off,Good,Current Data,,,Sensor,True
149,Chatter_Site,19/10/2023 00:00:11,In Operation,Good,Current Data,,,Sensor,True
150,Chatter_Site,19/10/2023 00:00:10,Off,Good,Current Data,,,Sensor,True
151,Chatter_Site,19/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
152,Chatter_Site,19/10/2023 00:00:20,Off,Good,Current Data,,,Sensor,True
153,Chatter_Site,19/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
154,Chatter_Site,19/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
155,Chatter_Site,19/10/2023 00:00:13,In Operation,Good,Current Data,,,Sensor,True
156,Chatter_Site,19/10/2023 00:00:14,Off,Good,Current Data,,,Sensor,True
157,Chatter_Site,19/10/2023 00:00:24,In Operation,Good,Current Data,,,Sensor,True
158,Chatter_Site,19/10/2023 00:00:04,Off,Good,Current Data,,,Sensor,True
159,Chatter_Site,19/10/2023 00:00:28,In Operation,Good,Current Data,,,Sensor,True
160,Chatter_Site,20/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,False
161,Chatter_Site,20/10/2023 00:00:23,Off,Good,Current Data,,,Sensor,True
162,Chatter_Site,20/10/2023 00:00:08,In Operation,Good,Current Data,,,Sensor,True
163,Chatter_Site,20/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
164,Chatter_Site,20/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,True
165,Chatter_Site,20/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
166,Chatter_Site,20/10/2023 00:00:05,In Operation,Good,Current Data,,,Sensor,True
167,Chatter_Site,20/10/2023 00:00:18,Off,Good,Current Data,,,Sensor,True
168,Chatter_Site,20/10/2023 00:00:17,In Operation,Good,Current Data,,,Sensor,True
169,Chatter_Site,20/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
170,Chatter_Site,20/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
171,Chatter_Site,20/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
172,Chatter_Site,20/10/2023 00:00:26,In Operation,Good,Current Data,,,Sensor,True
173,Chatter_Site,21/10/2023 00:00:04,In Operation,Good,Current Data,,,Sensor,False
174,Chatter_Site,21/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
175,Chatter_Site,21/10/2023 00:00:11,In Operation,Good,Current Data,,,Sensor,True
176,Chatter_Site,21/10/2023 00:00:21,Off,Good,Current Data,,,Sensor,True
177,Chatter_Site,21/10/2023 00:00:13,In Operation,Good,Current Data,,,Sensor,True
178,Chatter_Site,21/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
179,Chatter_Site,21/10/2023 00:00:29,In Operation,Good,Current Data,,,Sensor,True
180,Chatter_Site,21/10/2023 00:00:30,Off,Good,Current Data,,,Sensor,True
181,Chatter_Site,21/10/2023 00:00:04,In Operation,Good,Current Data,,,Sensor,True
182,Chatter_Site,21/10/2023 00:00:18,Off,Good,Current Data,,,Sensor,True
183,Chatter_Site,21/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,True
184,Chatter_Site,21/10/2023 00:00:01,Off,Good,Current Data,,,Sensor,True
185,Chatter_Site,21/10/2023 00:00:04,In Operation,Good,Current Data,,,Sensor,True
186,Chatter_Site,21/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
187,Chatter_Site,22/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,False
188,Chatter_Site,22/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
189,Chatter_Site,22/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
190,Chatter_Site,22/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
191,Chatter_Site,22/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
192,Chatter_Site,22/10/2023 00:00:30,Off,Good,Current Data,,,Sensor,True
193,Chatter_Site,22/10/2023 00:00:28,In Operation,Good,Current Data,,,Sensor,True
194,Chatter_Site,22/10/2023 00:00:20,Off,Good,Current Data,,,Sensor,True
195,Chatter_Site,22/10/2023 00:00:15,In Operation,Good,Current Data,,,Sensor,True
196,Chatter_Site,23/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,False
197,Chatter_Site,23/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
198,Chatter_Site,23/10/2023 00:00:30,In Operation,Good,Current Data,,,Sensor,True
199,Chatter_Site,23/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
200,Chatter_Site,23/10/2023 00:00:17,In Operation,Good,Current Data,,,Sensor,True
201,Chatter_Site,23/10/2023 00:00:09,Off,Good,Current Data,,,Sensor,True
202,Chatter_Site,23/10/2023 00:00:18,In Operation,Good,Current Data,,,Sensor,True
203,Chatter_Site,23/10/2023 00:00:20,Off,Good,Current Data,,,Sensor,True
204,Chatter_Site,23/10/2023 00:00:15,In Operation,Good,Current Data,,,Sensor,True
205,Chatter_Site,23/10/2023 00:00:05,Off,Good,Current Data,,,Sensor,True
206,Chatter_Site,23/10/2023 00:00:30,In Operation,Good,Current Data,,,Sensor,True
207,Chatter_Site,23/10/2023 00:00:10,Off,Good,Current Data,,,Sensor,True
208,Chatter_Site,23/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
209,Chatter_Site,23/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
210,Chatter_Site,24/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,False
211,Chatter_Site,24/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
212,Chatter_Site,24/10/2023 00:00:21,In Operation,Good,Current Data,,,Sensor,True
213,Chatter_Site,24/10/2023 00:00:13,Off,Good,Current Data,,,Sensor,True
214,Chatter_Site,24/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
215,Chatter_Site,24/10/2023 00:00:15,Off,Good,Current Data,,,Sensor,True
216,Chatter_Site,24/10/2023 00:00:11,In Operation,Good,Current Data,,,Sensor,True
217,Chatter_Site,24/10/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
218,Chatter_Site,24/10/2023 00:00:18,In Operation,Good,Current Data,,,Sensor,True
219,Chatter_Site,24/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
220,Chatter_Site,24/10/2023 00:00:28,In Operation,Good,Current Data,,,Sensor,True
221,Chatter_Site,25/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,False
222,Chatter_Site,25/10/2023 00:00:23,Off,Good,Current Data,,,Sensor,True
223,Chatter_Site,25/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,True
224,Chatter_Site,25/10/2023 00:00:02,Off,Good,Current Data,,,Sensor,True
225,Chatter_Site,25/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
226,Chatter_Site,25/10/2023 00:00:01,Off,Good,Current Data,,,Sensor,True
227,Chatter_Site,25/10/2023 00:00:14,In Operation,Good,Current Data,,,Sensor,True
228,Chatter_Site,25/10/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
229,Chatter_Site,25/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
230,Chatter_Site,25/10/2023 00:00:23,Off,Good,Current Data,,,Sensor,True
231,Chatter_Site,25/10/2023 00:00:11,In Operation,Good,Current Data,,,Sensor,True
232,Chatter_Site,25/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
233,Chatter_Site,25/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,True
234,Chatter_Site,25/10/2023 00:00:28,Off,Good,Current Data,,,Sensor,True
235,Chatter_Site,26/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,False
236,Chatter_Site,26/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
237,Chatter_Site,26/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,True
238,Chatter_Site,26/10/2023 00:00:18,Off,Good,Current Data,,,Sensor,True
239,Chatter_Site,26/10/2023 00:00:30,In Operation,Good,Current Data,,,Sensor,True
240,Chatter_Site,26/10/2023 00:00:15,Off,Good,Current Data,,,Sensor,True
241,Chatter_Site,26/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,True
242,Chatter_Site,26/10/2023 00:00:15,Off,Good,Current Data,,,Sensor,True
243,Chatter_Site,26/10/2023 00:00:20,In Operation,Good,Current Data,,,Sensor,True
244,Chatter_Site,26/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
245,Chatter_Site,26/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
246,Chatter_Site,26/10/2023 00:00:09,Off,Good,Current Data,,,Sensor,True
247,Chatter_Site,27/10/2023 00:00:18,In Operation,Good,Current Data,,,Sensor,False
248,Chatter_Site,27/10/2023 00:00:19,Off,Good,Current Data,,,Sensor,True
249,Chatter_Site,27/10/2023 00:00:02,In Operation,Good,Current Data,,,Sensor,True
250,Chatter_Site,27/10/2023 00:00:01,Off,Good,Current Data,,,Sensor,True
251,Chatter_Site,27/10/2023 00:00:24,In Operation,Good,Current Data,,,Sensor,True
252,Chatter_Site,27/10/2023 00:00:00,Off,Good,Current Data,,,Sensor,True
253,Chatter_Site,27/10/2023 00:00:20,In Operation,Good,Current Data,,,Sensor,True
254,Chatter_Site,27/10/2023 00:00:14,Off,Good,Current Data,,,Sensor,True
255,Chatter_Site,27/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
256,Chatter_Site,27/10/2023 00:00:04,Off,Good,Current Data,,,Sensor,True
257,Chatter_Site,27/10/2023 00:00:26,In Operation,Good,Current Data,,,Sensor,True
258,Chatter_Site,27/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
259,Chatter_Site,27/10/2023 00:00:11,In Operation,Good,Current Data,,,Sensor,True
260,Chatter_Site,27/10/2023 00:00:15,Off,Good,Current Data,,,Sensor,True
261,Chatter_Site,27/10/2023 00:00:26,In Operation,Good,Current Data,,,Sensor,True
262,Chatter_Site,28/10/2023 00:00:24,Off,Good,Current Data,,,Sensor,False
263,Chatter_Site,28/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,True
264,Chatter_Site,28/10/2023 00:00:01,Off,Good,Current Data,,,Sensor,True
265,Chatter_Site,28/10/2023 00:00:01,In Operation,Good,Current Data,,,Sensor,True
266,Chatter_Site,28/10/2023 00:00:24,Off,Good,Current Data,,,Sensor,True
267,Chatter_Site,28/10/2023 00:00:30,In Operation,Good,Current Data,,,Sensor,True
268,Chatter_Site,28/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
269,Chatter_Site,28/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
270,Chatter_Site,28/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
271,Chatter_Site,28/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,True
272,Chatter_Site,28/10/2023 00:00:12,Off,Good,Current Data,,,Sensor,True
273,Chatter_Site,28/10/2023 00:00:19,In Operation,Good,Current Data,,,Sensor,True
274,Chatter_Site,28/10/2023 00:00:07,Off,Good,Current Data,,,Sensor,True
275,Chatter_Site,28/10/2023 00:00:23,In Operation,Good,Current Data,,,Sensor,True
276,Chatter_Site,29/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,False
277,Chatter_Site,29/10/2023 00:00:29,Off,Good,Current Data,,,Sensor,True
278,Chatter_Site,29/10/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,True
279,Chatter_Site,29/10/2023 00:00:05,Off,Good,Current Data,,,Sensor,True
280,Chatter_Site,29/10/2023 00:00:27,In Operation,Good,Current Data,,,Sensor,True
281,Chatter_Site,30/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,False
282,Chatter_Site,30/10/2023 00:00:18,Off,Good,Current Data,,,Sensor,True
283,Chatter_Site,30/10/2023 00:00:29,In Operation,Good,Current Data,,,Sensor,True
284,Chatter_Site,30/10/2023 00:00:30,Off,Good,Current Data,,,Sensor,True
285,Chatter_Site,30/10/2023 00:00:12,In Operation,Good,Current Data,,,Sensor,True
286,Chatter_Site,30/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
287,Chatter_Site,30/10/2023 00:00:14,In Operation,Good,Current Data,,,Sensor,True
288,Chatter_Site,30/10/2023 00:00:15,Off,Good,Current Data,,,Sensor,True
289,Chatter_Site,30/10/2023 00:00:29,In Operation,Good,Current Data,,,Sensor,True
290,Chatter_Site,30/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
291,Chatter_Site,30/10/2023 00:00:20,In Operation,Good,Current Data,,,Sensor,True
292,Chatter_Site,30/10/2023 00:00:20,Off,Good,Current Data,,,Sensor,True
293,Chatter_Site,30/10/2023 00:00:09,In Operation,Good,Current Data,,,Sensor,True
294,Chatter_Site,30/10/2023 00:00:10,Off,Good,Current Data,,,Sensor,True
295,Chatter_Site,30/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
296,Chatter_Site,31/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,False
297,Chatter_Site,31/10/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
298,Chatter_Site,31/10/2023 00:00:06,In Operation,Good,Current Data,,,Sensor,True
299,Chatter_Site,31/10/2023 00:00:00,Off,Good,Current Data,,,Sensor,True
300,Chatter_Site,31/10/2023 00:00:24,In Operation,Good,Current Data,,,Sensor,True
301,Chatter_Site,31/10/2023 00:00:04,Off,Good,Current Data,,,Sensor,True
302,Chatter_Site,31/10/2023 00:00:11,In Operation,Good,Current Data,,,Sensor,True
303,Chatter_Site,01/11/2023 00:00:10,Off,Good,Current Data,,,Sensor,False
304,Chatter_Site,01/11/2023 00:00:06,In Operation,Good,Current Data,,,Sensor,True
305,Chatter_Site,01/11/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
306,Chatter_Site,01/11/2023 00:00:25,In Operation,Good,Current Data,,,Sensor,True
307,Chatter_Site,01/11/2023 00:00:07,Off,Good,Current Data,,,Sensor,True
308,Chatter_Site,01/11/2023 00:00:27,In Operation,Good,Current Data,,,Sensor,True
309,Chatter_Site,01/11/2023 00:00:23,Off,Good,Current Data,,,Sensor,True
310,Chatter_Site,01/11/2023 00:00:21,In Operation,Good,Current Data,,,Sensor,True
311,Chatter_Site,01/11/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
312,Chatter_Site,01/11/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
313,Chatter_Site,01/11/2023 00:00:09,Off,Good,Current Data,,,Sensor,True
314,Chatter_Site,01/11/2023 00:00:23,In Operation,Good,Current Data,,,Sensor,True
315,Chatter_Site,02/11/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,False
316,Chatter_Site,02/11/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
