ID,Site,Time,Value,State,Quality,Reason,Status,Suppression,Type,real_point
71,Site_001,31/12/2023 04:48:44,1,Off,Good,State Change,,None,,
72,Site_001,31/12/2023 04:48:07,0,In Operation,Good,State Change,,None,,
73,Site_001,31/12/2023 02:47:26,1,Off,Good,Current Data,,None,,
74,Site_001,31/12/2023 02:47:22,1,Off,Good,Current Data,,None,,
75,Site_001,31/12/2023 02:46:30,1,Off,Good,Current Data,,None,,
76,Site_001,30/12/2023 23:45:58,1,Off,Good,Current Data,,None,,
77,Site_001,30/12/2023 23:43:20,1,Off,Good,State Change,,None,,
78,Site_001,30/12/2023 23:43:20,1,Off,Good,State Change,,None,,
79,Site_001,30/12/2023 23:10:59,0,In Operation,Good,State Change,,None,,
80,Site_001,30/12/2023 23:10:47,1,Off,Good,State Change,,None,,
81,Site_001,30/12/2023 23:10:47,1,Off,Good,State Change,,None,,
82,Site_001,30/12/2023 23:09:32,0,In Operation,Good,State Change,,None,,
83,Site_001,30/12/2023 23:09:22,1,Off,Good,State Change,,None,,
84,Site_001,30/12/2023 23:09:22,1,Off,Good,State Change,,None,,
85,Site_001,30/12/2023 23:09:19,0,In Operation,Good,State Change,,None,,
86,Site_001,30/12/2023 23:09:09,1,Off,Good,State Change,,None,,
87,Site_001,30/12/2023 23:09:09,1,Off,Good,State Change,,None,,
88,Site_001,30/12/2023 23:08:18,0,In Operation,Good,State Change,,None,,
89,Site_001,30/12/2023 23:07:30,1,Off,Good,State Change,,None,,
90,Site_001,30/12/2023 23:07:30,1,Off,Good,State Change,,None,,
91,Site_001,30/12/2023 23:07:16,0,In Operation,Good,State Change,,None,,
92,Site_001,30/12/2023 23:06:56,1,Off,Good,State Change,,None,,
93,Site_001,30/12/2023 23:06:56,1,Off,Good,State Change,,None,,
94,Site_001,30/12/2023 23:06:52,0,In Operation,Good,State Change,,None,,
95,Site_001,30/12/2023 23:06:31,1,Off,Good,State Change,,None,,
96,Site_001,30/12/2023 23:06:31,1,Off,Good,State Change,,None,,
97,Site_001,30/12/2023 23:06:10,0,In Operation,Good,State Change,,None,,
98,Site_001,30/12/2023 23:05:51,1,Off,Good,State Change,,None,,
99,Site_001,30/12/2023 23:05:51,1,Off,Good,State Change,,None,,
100,Site_001,30/12/2023 23:05:40,0,In Operation,Good,State Change,,None,,
101,Site_001,30/12/2023 23:05:29,1,Off,Good,State Change,,None,,
102,Site_001,30/12/2023 23:05:29,0,In Operation,Good,State Change,,None,,
103,Site_001,30/12/2023 23:05:29,1,Off,Good,State Change,,None,,
104,Site_001,30/12/2023 23:05:17,1,Off,Good,State Change,,None,,
105,Site_001,30/12/2023 23:05:17,1,Off,Good,State Change,,None,,
106,Site_001,30/12/2023 23:05:05,0,In Operation,Good,State Change,,None,,
107,Site_001,30/12/2023 23:04:48,1,Off,Good,State Change,,None,,
108,Site_001,30/12/2023 23:04:48,1,Off,Good,State Change,,None,,
109,Site_001,30/12/2023 23:04:29,0,In Operation,Good,State Change,,None,,
110,Site_001,30/12/2023 23:04:04,1,Off,Good,State Change,,None,,
111,Site_001,30/12/2023 23:04:04,1,Off,Good,State Change,,None,,
112,Site_001,30/12/2023 23:02:47,0,In Operation,Good,State Change,,None,,
113,Site_001,30/12/2023 23:02:21,1,Off,Good,State Change,,None,,
114,Site_001,30/12/2023 23:02:21,1,Off,Good,State Change,,None,,
115,Site_001,30/12/2023 23:02:13,0,In Operation,Good,State Change,,None,,
116,Site_001,30/12/2023 23:02:02,1,Off,Good,State Change,,None,,
117,Site_001,30/12/2023 23:02:02,1,Off,Good,State Change,,None,,
118,Site_001,30/12/2023 23:00:46,0,In Operation,Good,Current Data,,None,,
119,Site_001,30/12/2023 22:54:40,0,In Operation,Good,State Change,,None,,
120,Site_001,30/12/2023 22:53:56,1,Off,Good,State Change,,None,,
121,Site_001,30/12/2023 22:53:56,1,Off,Good,State Change,,None,,
122,Site_001,30/12/2023 22:53:31,0,In Operation,Good,State Change,,None,,
123,Site_001,30/12/2023 22:53:20,1,Off,Good,State Change,,None,,
124,Site_001,30/12/2023 22:53:20,1,Off,Good,State Change,,None,,
125,Site_001,30/12/2023 22:53:15,0,In Operation,Good,State Change,,None,,
126,Site_001,30/12/2023 06:32:39,1,Off,Good,Current Data,,None,,
127,Site_001,30/12/2023 06:16:31,1,Off,Good,Current Data,,None,,
128,Site_001,30/12/2023 06:13:57,1,Off,Good,Current Data,,None,,
129,Site_001,30/12/2023 06:04:54,1,Off,Good,Current Data,,None,,
130,Site_001,30/12/2023 05:59:29,1,Off,Good,Current Data,,None,,
131,Site_001,30/12/2023 05:56:33,1,Off,Good,Current Data,,None,,
132,Site_001,30/12/2023 05:53:24,1,Off,Good,Current Data,,None,,
133,Site_001,30/12/2023 05:52:20,1,Off,Good,Current Data,,None,,
134,Site_001,30/12/2023 05:40:01,1,Off,Good,Current Data,,None,,
135,Site_001,30/12/2023 05:34:44,1,Off,Good,Current Data,,None,,
136,Site_001,30/12/2023 05:33:08,1,Off,Good,Current Data,,None,,
137,Site_001,30/12/2023 05:31:52,1,Off,Good,Current Data,,None,,
138,Site_001,30/12/2023 05:27:52,1,Off,Good,Current Data,,None,,
139,Site_001,30/12/2023 05:22:22,1,Off,Good,Current Data,,None,,
140,Site_001,30/12/2023 05:21:45,1,Off,Good,Current Data,,None,,
141,Site_001,30/12/2023 05:18:45,1,Off,Good,Current Data,,None,,
142,Site_001,30/12/2023 05:17:01,1,Off,Good,Current Data,,None,,
143,Site_001,30/12/2023 05:09:31,1,Off,Good,Current Data,,None,,
144,Site_001,30/12/2023 05:01:56,1,Off,Good,Current Data,,None,,
145,Site_001,30/12/2023 04:56:01,1,Off,Good,Current Data,,None,,
146,Site_001,30/12/2023 04:50:47,1,Off,Good,Current Data,,None,,
147,Site_001,30/12/2023 04:47:42,1,Off,Good,Current Data,,None,,
148,Site_001,30/12/2023 04:42:06,1,Off,Good,Current Data,,None,,
149,Site_001,30/12/2023 04:38:06,1,Off,Good,Current Data,,None,,
150,Site_001,30/12/2023 04:27:03,1,Off,Good,Current Data,,None,,
151,Site_001,30/12/2023 04:18:30,1,Off,Good,Current Data,,None,,
152,Site_001,30/12/2023 04:09:23,1,Off,Good,Current Data,,None,,
153,Site_001,30/12/2023 04:04:42,1,Off,Good,Current Data,,None,,
154,Site_001,30/12/2023 04:00:28,1,Off,Good,Current Data,,None,,
155,Site_001,30/12/2023 03:49:45,1,Off,Good,Current Data,,None,,
156,Site_001,30/12/2023 03:43:53,1,Off,Good,Current Data,,None,,
157,Site_001,30/12/2023 03:38:13,1,Off,Good,Current Data,,None,,
158,Site_001,30/12/2023 03:35:25,1,Off,Good,Current Data,,None,,
159,Site_001,30/12/2023 03:30:55,1,Off,Good,Current Data,,None,,
160,Site_001,30/12/2023 03:27:31,1,Off,Good,Current Data,,None,,
161,Site_001,30/12/2023 03:17:26,1,Off,Good,Current Data,,None,,
162,Site_001,30/12/2023 03:14:07,1,Off,Good,Current Data,,None,,
163,Site_001,30/12/2023 03:08:44,1,Off,Good,Current Data,,None,,
164,Site_001,30/12/2023 03:00:11,1,Off,Good,Current Data,,None,,
165,Site_001,30/12/2023 02:55:45,1,Off,Good,Current Data,,None,,
166,Site_001,30/12/2023 02:50:07,1,Off,Good,Current Data,,None,,
167,Site_001,30/12/2023 02:48:50,1,Off,Good,Current Data,,None,,
168,Site_001,30/12/2023 02:14:29,1,Off,Good,Current Data,,None,,
169,Site_001,30/12/2023 02:13:43,1,Off,Good,Current Data,,None,,
170,Site_001,30/12/2023 02:03:48,1,Off,Good,Current Data,,None,,
171,Site_001,30/12/2023 01:58:45,1,Off,Good,Current Data,,None,,
172,Site_001,30/12/2023 01:48:09,1,Off,Good,Current Data,,None,,
173,Site_001,30/12/2023 01:42:47,1,Off,Good,Current Data,,None,,
174,Site_001,30/12/2023 01:41:27,1,Off,Good,Current Data,,None,,
175,Site_001,30/12/2023 01:37:57,1,Off,Good,Current Data,,None,,
176,Site_001,30/12/2023 01:33:54,1,Off,Good,Current Data,,None,,
177,Site_001,29/12/2023 08:24:03,1,Off,Good,Current Data,,None,,
178,Site_001,29/12/2023 08:08:18,1,Off,Good,Current Data,,None,,
179,Site_001,29/12/2023 08:06:51,1,Off,Good,Current Data,,None,,
180,Site_001,29/12/2023 07:59:17,1,Off,Good,Current Data,,None,,
181,Site_001,29/12/2023 07:43:31,1,Off,Good,Current Data,,None,,
182,Site_001,29/12/2023 07:42:46,1,Off,Good,Current Data,,None,,
183,Site_001,29/12/2023 05:10:08,1,Off,Good,Current Data,,None,,
184,Site_001,29/12/2023 05:09:25,1,Off,Good,Current Data,,None,,
185,Site_001,29/12/2023 04:48:15,1,Off,Good,Current Data,,None,,
186,Site_001,29/12/2023 04:44:53,1,Off,Good,Current Data,,None,,
187,Site_001,29/12/2023 04:08:26,1,Off,Good,Current Data,,None,,
188,Site_001,29/12/2023 03:59:26,1,Off,Good,Current Data,,None,,
189,Site_001,29/12/2023 03:49:58,1,Off,Good,Current Data,,None,,
190,Site_001,29/12/2023 03:26:21,1,Off,Good,Current Data,,None,,
191,Site_001,29/12/2023 03:16:20,1,Off,Good,Current Data,,None,,
192,Site_001,29/12/2023 02:50:54,1,Off,Good,Current Data,,None,,
193,Site_001,29/12/2023 02:38:01,1,Off,Good,Current Data,,None,,
194,Site_001,29/12/2023 02:22:33,1,Off,Good,Current Data,,None,,
195,Site_001,29/12/2023 02:16:36,1,Off,Good,Current Data,,None,,
196,Site_001,29/12/2023 02:05:38,1,Off,Good,Current Data,,None,,
197,Site_001,29/12/2023 02:01:00,1,Off,Good,Current Data,,None,,
198,Site_001,29/12/2023 01:55:51,1,Off,Good,Current Data,,None,,
199,Site_001,29/12/2023 01:46:44,1,Off,Good,Current Data,,None,,
200,Site_001,29/12/2023 01:36:01,1,Off,Good,Current Data,,None,,
201,Site_001,28/12/2023 08:17:53,1,Off,Good,Current Data,,None,,
202,Site_001,28/12/2023 08:17:51,1,Off,Good,Current Data,,None,,
203,Site_001,28/12/2023 08:12:22,1,Off,Good,Current Data,,None,,
204,Site_001,28/12/2023 08:12:20,1,Off,Good,Current Data,,None,,
205,Site_001,28/12/2023 07:52:07,1,Off,Good,Current Data,,None,,
206,Site_001,28/12/2023 07:52:06,1,Off,Good,Current Data,,None,,
207,Site_001,27/12/2023 12:18:37,1,Off,Good,Current Data,,None,,
208,Site_001,27/12/2023 12:14:21,1,Off,Good,Current Data,,None,,
209,Site_001,27/12/2023 11:47:23,1,Off,Good,Current Data,,None,,
210,Site_001,27/12/2023 11:39:11,1,Off,Good,Current Data,,None,,
211,Site_001,27/12/2023 11:34:53,1,Off,Good,Current Data,,None,,
212,Site_001,27/12/2023 08:21:34,1,Off,Good,Current Data,,None,,
213,Site_001,27/12/2023 08:16:16,1,Off,Good,Current Data,,None,,
214,Site_001,27/12/2023 07:10:01,1,Off,Good,Current Data,,None,,
215,Site_001,27/12/2023 06:31:51,1,Off,Good,Current Data,,None,,
216,Site_001,26/12/2023 13:23:00,1,Off,Good,Current Data,,None,,
217,Site_001,26/12/2023 13:13:46,1,Off,Good,Current Data,,None,,
218,Site_001,26/12/2023 13:08:26,1,Off,Good,Current Data,,None,,
219,Site_001,26/12/2023 12:50:58,1,Off,Good,Current Data,,None,,
220,Site_001,26/12/2023 12:49:35,1,Off,Good,Current Data,,None,,
221,Site_001,26/12/2023 12:39:44,1,Off,Good,Current Data,,None,,
222,Site_001,26/12/2023 10:13:35,1,Off,Good,Current Data,,None,,
223,Site_001,26/12/2023 10:12:36,1,Off,Good,Current Data,,None,,
224,Site_001,26/12/2023 10:12:31,1,Off,Good,Current Data,,None,,
225,Site_001,26/12/2023 10:07:00,1,Off,Good,Current Data,,None,,
226,Site_001,26/12/2023 10:05:06,1,Off,Good,Current Data,,None,,
227,Site_001,26/12/2023 10:03:14,1,Off,Good,Current Data,,None,,
228,Site_001,26/12/2023 10:02:26,1,Off,Good,Current Data,,None,,
229,Site_001,26/12/2023 09:56:45,1,Off,Good,Current Data,,None,,
230,Site_001,26/12/2023 09:55:33,1,Off,Good,Current Data,,None,,
231,Site_001,26/12/2023 09:51:51,1,Off,Good,Current Data,,None,,
232,Site_001,26/12/2023 09:48:54,1,Off,Good,Current Data,,None,,
233,Site_001,26/12/2023 09:48:24,1,Off,Good,Current Data,,None,,
234,Site_001,26/12/2023 09:43:19,1,Off,Good,Current Data,,None,,
235,Site_001,26/12/2023 09:40:48,1,Off,Good,Current Data,,None,,
236,Site_001,26/12/2023 09:40:04,1,Off,Good,Current Data,,None,,
237,Site_001,26/12/2023 09:39:38,1,Off,Good,Current Data,,None,,
238,Site_001,26/12/2023 09:38:26,1,Off,Good,Current Data,,None,,
239,Site_001,26/12/2023 09:38:25,1,Off,Good,Current Data,,None,,
240,Site_001,26/12/2023 09:31:43,1,Off,Good,Current Data,,None,,
241,Site_001,26/12/2023 09:31:42,1,Off,Good,Current Data,,None,,
242,Site_001,26/12/2023 09:28:39,1,Off,Good,Current Data,,None,,
243,Site_001,26/12/2023 09:28:37,1,Off,Good,Current Data,,None,,
244,Site_001,26/12/2023 09:27:15,1,Off,Good,Current Data,,None,,
245,Site_001,26/12/2023 09:27:13,1,Off,Good,Current Data,,None,,
246,Site_001,26/12/2023 09:22:45,1,Off,Good,Current Data,,None,,
247,Site_001,26/12/2023 09:22:42,1,Off,Good,Current Data,,None,,
248,Site_001,26/12/2023 09:21:11,1,Off,Good,Current Data,,None,,
249,Site_001,26/12/2023 09:21:08,1,Off,Good,Current Data,,None,,
250,Site_001,26/12/2023 09:16:39,1,Off,Good,Current Data,,None,,
251,Site_001,26/12/2023 09:16:38,1,Off,Good,Current Data,,None,,
252,Site_001,26/12/2023 09:16:35,1,Off,Good,Current Data,,None,,
253,Site_001,26/12/2023 09:15:54,1,Off,Good,Current Data,,None,,
254,Site_001,26/12/2023 09:15:52,1,Off,Good,Current Data,,None,,
255,Site_001,26/12/2023 09:12:32,1,Off,Good,Current Data,,None,,
256,Site_001,26/12/2023 09:12:30,1,Off,Good,Current Data,,None,,
257,Site_001,26/12/2023 09:02:51,1,Off,Good,Current Data,,None,,
258,Site_001,26/12/2023 09:02:49,1,Off,Good,Current Data,,None,,
259,Site_001,26/12/2023 08:58:21,1,Off,Good,Current Data,,None,,
260,Site_001,26/12/2023 08:58:19,1,Off,Good,Current Data,,None,,
261,Site_001,26/12/2023 08:25:02,1,Off,Good,Current Data,,None,,
262,Site_001,26/12/2023 08:25:01,1,Off,Good,Current Data,,None,,
263,Site_001,26/12/2023 05:09:33,1,Off,Good,Current Data,,None,,
264,Site_001,26/12/2023 04:39:19,1,Off,Good,Current Data,,None,,
265,Site_001,26/12/2023 04:37:59,1,Off,Good,Current Data,,None,,
266,Site_001,26/12/2023 04:07:59,1,Off,Good,Current Data,,None,,
267,Site_001,25/12/2023 13:20:43,1,Off,Good,Current Data,,None,,
268,Site_001,25/12/2023 13:20:14,1,Off,Good,Current Data,,None,,
269,Site_001,25/12/2023 13:13:00,1,Off,Good,Current Data,,None,,
270,Site_001,24/12/2023 14:59:28,1,Off,Good,Current Data,,None,,
271,Site_001,24/12/2023 14:56:42,1,Off,Good,Current Data,,None,,
272,Site_001,24/12/2023 14:52:33,1,Off,Good,Current Data,,None,,
273,Site_001,24/12/2023 14:36:26,1,Off,Good,Current Data,,None,,
274,Site_001,24/12/2023 14:29:30,1,Off,Good,Current Data,,None,,
275,Site_001,24/12/2023 14:21:41,1,Off,Good,Current Data,,None,,
276,Site_001,24/12/2023 14:19:27,1,Off,Good,Current Data,,None,,
277,Site_001,24/12/2023 14:17:40,1,Off,Good,Current Data,,None,,
278,Site_001,24/12/2023 14:05:27,1,Off,Good,Current Data,,None,,
279,Site_001,24/12/2023 14:03:41,1,Off,Good,Current Data,,None,,
280,Site_001,24/12/2023 07:49:43,1,Off,Good,Current Data,,None,,
281,Site_001,24/12/2023 05:54:38,1,Off,Good,Current Data,,None,,
282,Site_001,24/12/2023 05:38:31,1,Off,Good,Current Data,,None,,
283,Site_001,24/12/2023 05:38:21,1,Off,Good,Current Data,,None,,
284,Site_001,23/12/2023 05:29:47,1,Off,Good,Current Data,,None,,
285,Site_001,23/12/2023 05:25:08,1,Off,Good,Current Data,,None,,
286,Site_001,23/12/2023 05:20:38,1,Off,Good,Current Data,,None,,
287,Site_001,23/12/2023 05:20:37,1,Off,Good,Current Data,,None,,
288,Site_001,23/12/2023 05:18:36,1,Off,Good,Current Data,,None,,
289,Site_001,23/12/2023 02:04:25,1,Off,Good,Current Data,,None,,
290,Site_001,23/12/2023 02:03:46,1,Off,Good,Current Data,,None,,
291,Site_001,22/12/2023 08:22:24,1,Off,Good,Current Data,,None,,
292,Site_001,22/12/2023 00:32:28,1,Off,Good,Current Data,,None,,
293,Site_001,22/12/2023 00:31:49,1,Off,Good,Current Data,,None,,
294,Site_001,21/12/2023 08:55:31,1,Off,Good,Current Data,,None,,
295,Site_001,21/12/2023 08:51:17,1,Off,Good,Current Data,,None,,
296,Site_001,21/12/2023 08:50:20,1,Off,Good,Current Data,,None,,
297,Site_001,21/12/2023 08:48:49,1,Off,Good,Current Data,,None,,
298,Site_001,21/12/2023 08:47:54,1,Off,Good,Current Data,,None,,
299,Site_001,21/12/2023 08:47:08,1,Off,Good,Current Data,,None,,
300,Site_001,21/12/2023 08:46:11,1,Off,Good,Current Data,,None,,
301,Site_001,21/12/2023 08:45:04,1,Off,Good,Current Data,,None,,
302,Site_001,21/12/2023 08:42:32,1,Off,Good,Current Data,,None,,
303,Site_001,21/12/2023 08:39:32,1,Off,Good,Current Data,,None,,
304,Site_001,21/12/2023 08:39:26,1,Off,Good,Current Data,,None,,
305,Site_001,21/12/2023 08:38:57,1,Off,Good,Current Data,,None,,
306,Site_001,21/12/2023 08:38:08,1,Off,Good,Current Data,,None,,
307,Site_001,21/12/2023 08:29:22,1,Off,Good,Current Data,,None,,
308,Site_001,21/12/2023 08:18:03,1,Off,Good,Current Data,,None,,
309,Site_001,21/12/2023 08:18:00,1,Off,Good,Current Data,,None,,
310,Site_001,21/12/2023 08:12:57,1,Off,Good,Current Data,,None,,
311,Site_001,21/12/2023 08:12:25,1,Off,Good,Current Data,,None,,
312,Site_001,21/12/2023 08:11:51,1,Off,Good,Current Data,,None,,
313,Site_001,21/12/2023 08:11:48,1,Off,Good,Current Data,,None,,
314,Site_001,21/12/2023 08:07:24,1,Off,Good,Current Data,,None,,
315,Site_001,21/12/2023 08:07:22,1,Off,Good,Current Data,,None,,
316,Site_001,21/12/2023 07:55:15,1,Off,Good,Current Data,,None,,
317,Site_001,21/12/2023 07:55:11,1,Off,Good,Current Data,,None,,
318,Site_001,21/12/2023 07:37:27,1,Off,Good,Current Data,,None,,
319,Site_001,21/12/2023 07:37:25,1,Off,Good,Current Data,,None,,
320,Site_001,21/12/2023 06:56:34,1,Off,Good,Current Data,,None,,
321,Site_001,21/12/2023 06:56:32,1,Off,Good,Current Data,,None,,
322,Site_001,21/12/2023 02:00:50,1,Off,Good,Current Data,,None,,
323,Site_001,21/12/2023 01:31:19,1,Off,Good,Current Data,,None,,
324,Site_001,21/12/2023 01:31:09,1,Off,Good,Current Data,,None,,
325,Site_001,20/12/2023 23:32:23,1,Off,Good,Current Data,,None,,
326,Site_001,20/12/2023 23:18:51,1,Off,Good,Current Data,,None,,
327,Site_001,20/12/2023 23:18:11,1,Off,Good,Current Data,,None,,
328,Site_001,20/12/2023 23:17:36,1,Off,Good,Current Data,,None,,
329,Site_001,20/12/2023 16:48:25,1,Off,Good,Current Data,,None,,
330,Site_001,20/12/2023 16:39:18,1,Off,Good,Current Data,,None,,
331,Site_001,20/12/2023 16:26:19,1,Off,Good,Current Data,,None,,
332,Site_001,20/12/2023 04:53:24,1,Off,Good,Current Data,,None,,
333,Site_001,20/12/2023 03:38:43,1,Off,Good,Current Data,,None,,
334,Site_001,20/12/2023 03:28:12,1,Off,Good,Current Data,,None,,
335,Site_001,20/12/2023 03:24:14,1,Off,Good,Current Data,,None,,
336,Site_001,20/12/2023 03:22:40,1,Off,Good,Current Data,,None,,
337,Site_001,20/12/2023 03:20:24,1,Off,Good,Current Data,,None,,
338,Site_001,20/12/2023 03:14:12,1,Off,Good,Current Data,,None,,
339,Site_001,20/12/2023 02:56:40,1,Off,Good,Current Data,,None,,
340,Site_001,20/12/2023 02:42:00,1,Off,Good,Current Data,,None,,
341,Site_001,20/12/2023 02:39:17,1,Off,Good,Current Data,,None,,
342,Site_001,20/12/2023 02:33:43,1,Off,Good,Current Data,,None,,
343,Site_001,20/12/2023 02:17:58,1,Off,Good,Current Data,,None,,
344,Site_001,20/12/2023 02:05:23,1,Off,Good,Current Data,,None,,
345,Site_001,20/12/2023 01:55:02,1,Off,Good,Current Data,,None,,
346,Site_001,20/12/2023 01:22:17,1,Off,Good,Current Data,,None,,
347,Site_001,20/12/2023 01:21:31,1,Off,Good,Current Data,,None,,
348,Site_001,20/12/2023 01:20:00,1,Off,Good,Current Data,,None,,
349,Site_001,20/12/2023 01:12:43,1,Off,Good,Current Data,,None,,
350,Site_001,20/12/2023 00:57:12,1,Off,Good,Current Data,,None,,
351,Site_001,20/12/2023 00:51:08,1,Off,Good,Current Data,,None,,
352,Site_001,20/12/2023 00:45:04,1,Off,Good,Current Data,,None,,
353,Site_001,20/12/2023 00:41:46,1,Off,Good,Current Data,,None,,
354,Site_001,20/12/2023 00:31:39,1,Off,Good,Current Data,,None,,
355,Site_001,19/12/2023 16:19:56,1,Off,Good,Current Data,,None,,
356,Site_001,19/12/2023 16:11:47,1,Off,Good,Current Data,,None,,
357,Site_001,19/12/2023 16:06:45,1,Off,Good,Current Data,,None,,
358,Site_001,19/12/2023 15:51:56,1,Off,Good,Current Data,,None,,
359,Site_001,19/12/2023 15:51:37,1,Off,Good,Current Data,,None,,
360,Site_001,19/12/2023 15:48:40,1,Off,Good,Current Data,,None,,
361,Site_001,19/12/2023 08:06:00,1,Off,Good,Current Data,,None,,
362,Site_001,19/12/2023 03:14:48,1,Off,Good,Current Data,,None,,
363,Site_001,19/12/2023 03:11:19,1,Off,Good,Current Data,,None,,
364,Site_001,19/12/2023 03:09:01,1,Off,Good,Current Data,,None,,
365,Site_001,19/12/2023 03:08:11,1,Off,Good,Current Data,,None,,
366,Site_001,19/12/2023 03:06:06,1,Off,Good,Current Data,,None,,
