ID,Site,Time,State,Quality,Reason,Status,Suppression,Type,real_point
49,Stable_Site,06/10/2023 23:18:09,In Operation,Good,Current Data,,,Sensor,True
50,Stable_Site,06/10/2023 23:19:56,Off,Good,Current Data,,,Sensor,True
51,Stable_Site,06/10/2023 23:21:58,In Operation,Good,Current Data,,,Sensor,True
52,Stable_Site,06/10/2023 23:23:48,Off,Good,Current Data,,,Sensor,True
53,Stable_Site,06/10/2023 23:25:56,In Operation,Good,Current Data,,,Sensor,True
54,Stable_Site,06/10/2023 23:27:38,Off,Good,Current Data,,,Sensor,True
55,Stable_Site,06/10/2023 23:29:55,In Operation,Good,Current Data,,,Sensor,True
56,Stable_Site,07/10/2023 16:52:10,In Operation,Good,Current Data,,,Sensor,True
57,Stable_Site,07/10/2023 16:54:06,Off,Good,Current Data,,,Sensor,True
58,Stable_Site,07/10/2023 16:56:27,In Operation,Good,Current Data,,,Sensor,True
59,Stable_Site,07/10/2023 16:58:41,Off,Good,Current Data,,,Sensor,True
60,Stable_Site,07/10/2023 17:00:43,In Operation,Good,Current Data,,,Sensor,True
61,Stable_Site,07/10/2023 17:03:00,Off,Good,Current Data,,,Sensor,True
62,Stable_Site,07/10/2023 17:05:53,In Operation,Good,Current Data,,,Sensor,True
63,Stable_Site,07/10/2023 17:07:57,Off,Good,Current Data,,,Sensor,True
64,Stable_Site,07/10/2023 17:09:50,In Operation,Good,Current Data,,,Sensor,True
65,Stable_Site,07/10/2023 17:11:37,Off,Good,Current Data,,,Sensor,True
66,Stable_Site,08/10/2023 22:08:19,In Operation,Good,Current Data,,,Sensor,True
67,Stable_Site,08/10/2023 22:10:02,Off,Good,Current Data,,,Sensor,True
68,Stable_Site,08/10/2023 22:12:16,In Operation,Good,Current Data,,,Sensor,True
69,Stable_Site,08/10/2023 22:14:57,Off,Good,Current Data,,,Sensor,True
70,Stable_Site,08/10/2023 22:17:18,In Operation,Good,Current Data,,,Sensor,True
71,Stable_Site,08/10/2023 22:19:57,Off,Good,Current Data,,,Sensor,True
72,Stable_Site,08/10/2023 22:21:42,In Operation,Good,Current Data,,,Sensor,True
73,Stable_Site,08/10/2023 22:23:32,Off,Good,Current Data,,,Sensor,True
74,Stable_Site,08/10/2023 22:25:58,In Operation,Good,Current Data,,,Sensor,True
75,Stable_Site,08/10/2023 22:27:47,Off,Good,Current Data,,,Sensor,True
76,Stable_Site,08/10/2023 22:29:59,In Operation,Good,Current Data,,,Sensor,True
77,Stable_Site,08/10/2023 22:32:30,Off,Good,Current Data,,,Sensor,True
78,Stable_Site,08/10/2023 22:34:28,In Operation,Good,Current Data,,,Sensor,True
79,Stable_Site,09/10/2023 02:15:08,Off,Good,Current Data,,,Sensor,True
80,Stable_Site,09/10/2023 02:17:38,In Operation,Good,Current Data,,,Sensor,True
81,Stable_Site,09/10/2023 02:20:32,Off,Good,Current Data,,,Sensor,True
82,Stable_Site,09/10/2023 02:22:39,In Operation,Good,Current Data,,,Sensor,True
83,Stable_Site,09/10/2023 02:25:17,Off,Good,Current Data,,,Sensor,True
84,Stable_Site,09/10/2023 02:27:22,In Operation,Good,Current Data,,,Sensor,True
85,Stable_Site,09/10/2023 02:29:45,Off,Good,Current Data,,,Sensor,True
86,Stable_Site,09/10/2023 02:32:26,In Operation,Good,Current Data,,,Sensor,True
87,Stable_Site,09/10/2023 02:34:25,Off,Good,Current Data,,,Sensor,True
88,Stable_Site,09/10/2023 02:37:14,In Operation,Good,Current Data,,,Sensor,True
89,Stable_Site,10/10/2023 17:40:41,In Operation,Good,Current Data,,,Sensor,True
90,Stable_Site,10/10/2023 17:42:56,Off,Good,Current Data,,,Sensor,True
91,Stable_Site,10/10/2023 17:44:47,In Operation,Good,Current Data,,,Sensor,True
92,Stable_Site,10/10/2023 17:47:33,Off,Good,Current Data,,,Sensor,True
93,Stable_Site,10/10/2023 17:49:39,In Operation,Good,Current Data,,,Sensor,True
94,Stable_Site,10/10/2023 17:51:55,Off,Good,Current Data,,,Sensor,True
95,Stable_Site,10/10/2023 17:54:34,In Operation,Good,Current Data,,,Sensor,True
96,Stable_Site,10/10/2023 17:57:28,Off,Good,Current Data,,,Sensor,True
97,Stable_Site,10/10/2023 18:00:15,In Operation,Good,Current Data,,,Sensor,True
98,Stable_Site,10/10/2023 18:03:00,Off,Good,Current Data,,,Sensor,True
99,Stable_Site,10/10/2023 18:05:08,In Operation,Good,Current Data,,,Sensor,True
100,Stable_Site,10/10/2023 18:08:05,Off,Good,Current Data,,,Sensor,True
101,Stable_Site,11/10/2023 04:30:58,In Operation,Good,Current Data,,,Sensor,True
102,Stable_Site,11/10/2023 04:32:54,Off,Good,Current Data,,,Sensor,True
103,Stable_Site,11/10/2023 04:35:17,In Operation,Good,Current Data,,,Sensor,True
104,Stable_Site,11/10/2023 04:38:06,Off,Good,Current Data,,,Sensor,True
105,Stable_Site,11/10/2023 04:40:12,In Operation,Good,Current Data,,,Sensor,True
106,Stable_Site,11/10/2023 04:42:33,Off,Good,Current Data,,,Sensor,True
107,Stable_Site,11/10/2023 04:44:59,In Operation,Good,Current Data,,,Sensor,True
108,Stable_Site,11/10/2023 04:46:45,Off,Good,Current Data,,,Sensor,True
109,Stable_Site,11/10/2023 04:49:41,In Operation,Good,Current Data,,,Sensor,True
110,Stable_Site,11/10/2023 04:51:44,Off,Good,Current Data,,,Sensor,True
111,Stable_Site,11/10/2023 04:53:51,In Operation,Good,Current Data,,,Sensor,True
112,Stable_Site,12/10/2023 20:34:56,Off,Good,Current Data,,,Sensor,True
113,Stable_Site,12/10/2023 20:37:35,In Operation,Good,Current Data,,,Sensor,True
114,Stable_Site,12/10/2023 20:40:10,Off,Good,Current Data,,,Sensor,True
115,Stable_Site,12/10/2023 20:42:43,In Operation,Good,Current Data,,,Sensor,True
116,Stable_Site,12/10/2023 20:44:23,Off,Good,Current Data,,,Sensor,True
117,Stable_Site,12/10/2023 20:46:19,In Operation,Good,Current Data,,,Sensor,True
118,Stable_Site,12/10/2023 20:49:05,Off,Good,Current Data,,,Sensor,True
119,Stable_Site,12/10/2023 20:51:38,In Operation,Good,Current Data,,,Sensor,True
120,Stable_Site,12/10/2023 20:54:12,Off,Good,Current Data,,,Sensor,True
121,Stable_Site,12/10/2023 20:56:13,In Operation,Good,Current Data,,,Sensor,True
122,Stable_Site,12/10/2023 20:58:07,Off,Good,Current Data,,,Sensor,True
123,Stable_Site,13/10/2023 22:08:35,Off,Good,Current Data,,,Sensor,True
124,Stable_Site,13/10/2023 22:11:33,In Operation,Good,Current Data,,,Sensor,True
125,Stable_Site,13/10/2023 22:14:20,Off,Good,Current Data,,,Sensor,True
126,Stable_Site,13/10/2023 22:17:06,In Operation,Good,Current Data,,,Sensor,True
127,Stable_Site,13/10/2023 22:18:50,Off,Good,Current Data,,,Sensor,True
128,Stable_Site,13/10/2023 22:21:34,In Operation,Good,Current Data,,,Sensor,True
129,Stable_Site,13/10/2023 22:23:33,Off,Good,Current Data,,,Sensor,True
130,Stable_Site,13/10/2023 22:25:29,In Operation,Good,Current Data,,,Sensor,True
131,Stable_Site,13/10/2023 22:27:22,Off,Good,Current Data,,,Sensor,True
132,Stable_Site,13/10/2023 22:30:12,In Operation,Good,Current Data,,,Sensor,True
133,Stable_Site,13/10/2023 22:32:56,Off,Good,Current Data,,,Sensor,True
134,Stable_Site,13/10/2023 22:35:47,In Operation,Good,Current Data,,,Sensor,True
135,Stable_Site,13/10/2023 22:38:43,Off,Good,Current Data,,,Sensor,True
136,Stable_Site,14/10/2023 17:45:09,In Operation,Good,Current Data,,,Sensor,True
137,Stable_Site,14/10/2023 17:47:12,Off,Good,Current Data,,,Sensor,True
138,Stable_Site,14/10/2023 17:49:12,In Operation,Good,Current Data,,,Sensor,True
139,Stable_Site,14/10/2023 17:51:07,Off,Good,Current Data,,,Sensor,True
140,Stable_Site,14/10/2023 17:53:57,In Operation,Good,Current Data,,,Sensor,True
141,Stable_Site,14/10/2023 17:56:26,Off,Good,Current Data,,,Sensor,True
142,Stable_Site,14/10/2023 17:58:49,In Operation,Good,Current Data,,,Sensor,True
143,Stable_Site,14/10/2023 18:00:55,Off,Good,Current Data,,,Sensor,True
144,Stable_Site,14/10/2023 18:03:34,In Operation,Good,Current Data,,,Sensor,True
145,Stable_Site,14/10/2023 18:06:22,Off,Good,Current Data,,,Sensor,True
146,Stable_Site,14/10/2023 18:08:37,In Operation,Good,Current Data,,,Sensor,True
147,Stable_Site,14/10/2023 18:10:42,Off,Good,Current Data,,,Sensor,True
148,Stable_Site,15/10/2023 15:19:13,Off,Good,Current Data,,,Sensor,True
149,Stable_Site,15/10/2023 15:21:38,In Operation,Good,Current Data,,,Sensor,True
150,Stable_Site,15/10/2023 15:23:24,Off,Good,Current Data,,,Sensor,True
151,Stable_Site,15/10/2023 15:26:21,In Operation,Good,Current Data,,,Sensor,True
152,Stable_Site,15/10/2023 15:28:04,Off,Good,Current Data,,,Sensor,True
153,Stable_Site,15/10/2023 15:30:33,In Operation,Good,Current Data,,,Sensor,True
154,Stable_Site,15/10/2023 15:33:17,Off,Good,Current Data,,,Sensor,True
155,Stable_Site,15/10/2023 15:35:08,In Operation,Good,Current Data,,,Sensor,True
156,Stable_Site,15/10/2023 15:37:42,Off,Good,Current Data,,,Sensor,True
157,Stable_Site,15/10/2023 15:40:02,In Operation,Good,Current Data,,,Sensor,True
158,Stable_Site,15/10/2023 15:42:07,Off,Good,Current Data,,,Sensor,True
159,Stable_Site,16/10/2023 17:58:32,Off,Good,Current Data,,,Sensor,True
160,Stable_Site,16/10/2023 18:01:21,In Operation,Good,Current Data,,,Sensor,True
161,Stable_Site,16/10/2023 18:03:03,Off,Good,Current Data,,,Sensor,True
162,Stable_Site,16/10/2023 18:05:05,In Operation,Good,Current Data,,,Sensor,True
163,Stable_Site,16/10/2023 18:06:52,Off,Good,Current Data,,,Sensor,True
164,Stable_Site,16/10/2023 18:09:00,In Operation,Good,Current Data,,,Sensor,True
165,Stable_Site,16/10/2023 18:10:58,Off,Good,Current Data,,,Sensor,True
166,Stable_Site,16/10/2023 18:12:47,In Operation,Good,Current Data,,,Sensor,True
167,Stable_Site,16/10/2023 18:14:36,Off,Good,Current Data,,,Sensor,True
168,Stable_Site,16/10/2023 18:17:29,In Operation,Good,Current Data,,,Sensor,True
169,Stable_Site,16/10/2023 18:19:41,Off,Good,Current Data,,,Sensor,True
170,Stable_Site,16/10/2023 18:21:24,In Operation,Good,Current Data,,,Sensor,True
171,Stable_Site,16/10/2023 18:24:07,Off,Good,Current Data,,,Sensor,True
172,Stable_Site,16/10/2023 18:25:50,In Operation,Good,Current Data,,,Sensor,True
173,Stable_Site,17/10/2023 06:26:00,In Operation,Good,Current Data,,,Sensor,True
174,Stable_Site,17/10/2023 06:28:43,Off,Good,Current Data,,,Sensor,True
175,Stable_Site,17/10/2023 06:31:31,In Operation,Good,Current Data,,,Sensor,True
176,Stable_Site,17/10/2023 06:34:16,Off,Good,Current Data,,,Sensor,True
177,Stable_Site,17/10/2023 06:37:08,In Operation,Good,Current Data,,,Sensor,True
178,Stable_Site,17/10/2023 06:39:31,Off,Good,Current Data,,,Sensor,True
179,Stable_Site,17/10/2023 06:41:43,In Operation,Good,Current Data,,,Sensor,True
180,Stable_Site,17/10/2023 06:43:56,Off,Good,Current Data,,,Sensor,True
181,Stable_Site,17/10/2023 06:46:34,In Operation,Good,Current Data,,,Sensor,True
182,Stable_Site,17/10/2023 06:48:22,Off,Good,Current Data,,,Sensor,True
183,Stable_Site,17/10/2023 06:51:16,In Operation,Good,Current Data,,,Sensor,True
184,Stable_Site,17/10/2023 06:53:19,Off,Good,Current Data,,,Sensor,True
185,Stable_Site,17/10/2023 06:55:36,In Operation,Good,Current Data,,,Sensor,True
186,Stable_Site,17/10/2023 06:57:27,Off,Good,Current Data,,,Sensor,True
187,Stable_Site,17/10/2023 07:00:26,In Operation,Good,Current Data,,,Sensor,True
188,Stable_Site,18/10/2023 07:35:14,Off,Good,Current Data,,,Sensor,True
189,Stable_Site,18/10/2023 07:37:41,In Operation,Good,Current Data,,,Sensor,True
190,Stable_Site,18/10/2023 07:39:57,Off,Good,Current Data,,,Sensor,True
191,Stable_Site,18/10/2023 07:42:08,In Operation,Good,Current Data,,,Sensor,True
192,Stable_Site,18/10/2023 07:44:31,Off,Good,Current Data,,,Sensor,True
193,Stable_Site,18/10/2023 07:46:40,In Operation,Good,Current Data,,,Sensor,True
194,Stable_Site,18/10/2023 07:48:51,Off,Good,Current Data,,,Sensor,True
195,Stable_Site,18/10/2023 07:50:38,In Operation,Good,Current Data,,,Sensor,True
196,Stable_Site,18/10/2023 07:53:34,Off,Good,Current Data,,,Sensor,True
197,Stable_Site,18/10/2023 07:55:23,In Operation,Good,Current Data,,,Sensor,True
198,Stable_Site,18/10/2023 07:58:20,Off,Good,Current Data,,,Sensor,True
199,Stable_Site,18/10/2023 08:00:25,In Operation,Good,Current Data,,,Sensor,True
200,Stable_Site,18/10/2023 08:02:33,Off,Good,Current Data,,,Sensor,True
201,Stable_Site,19/10/2023 01:54:16,Off,Good,Current Data,,,Sensor,True
202,Stable_Site,19/10/2023 01:56:42,In Operation,Good,Current Data,,,Sensor,True
203,Stable_Site,19/10/2023 01:58:33,Off,Good,Current Data,,,Sensor,True
204,Stable_Site,19/10/2023 02:00:18,In Operation,Good,Current Data,,,Sensor,True
205,Stable_Site,19/10/2023 02:02:35,Off,Good,Current Data,,,Sensor,True
206,Stable_Site,19/10/2023 02:05:10,In Operation,Good,Current Data,,,Sensor,True
207,Stable_Site,19/10/2023 02:07:29,Off,Good,Current Data,,,Sensor,True
208,Stable_Site,19/10/2023 02:10:04,In Operation,Good,Current Data,,,Sensor,True
209,Stable_Site,19/10/2023 02:12:44,Off,Good,Current Data,,,Sensor,True
210,Stable_Site,19/10/2023 02:14:34,In Operation,Good,Current Data,,,Sensor,True
211,Stable_Site,19/10/2023 02:16:57,Off,Good,Current Data,,,Sensor,True
212,Stable_Site,19/10/2023 02:19:32,In Operation,Good,Current Data,,,Sensor,True
213,Stable_Site,19/10/2023 02:21:15,Off,Good,Current Data,,,Sensor,True
214,Stable_Site,19/10/2023 02:23:35,In Operation,Good,Current Data,,,Sensor,True
215,Stable_Site,20/10/2023 18:49:33,In Operation,Good,Current Data,,,Sensor,True
216,Stable_Site,20/10/2023 18:51:57,Off,Good,Current Data,,,Sensor,True
217,Stable_Site,20/10/2023 18:53:49,In Operation,Good,Current Data,,,Sensor,True
218,Stable_Site,20/10/2023 18:56:34,Off,Good,Current Data,,,Sensor,True
219,Stable_Site,20/10/2023 18:59:07,In Operation,Good,Current Data,,,Sensor,True
220,Stable_Site,20/10/2023 19:00:51,Off,Good,Current Data,,,Sensor,True
221,Stable_Site,20/10/2023 19:03:11,In Operation,Good,Current Data,,,Sensor,True
222,Stable_Site,20/10/2023 19:05:30,Off,Good,Current Data,,,Sensor,True
223,Stable_Site,20/10/2023 19:07:33,In Operation,Good,Current Data,,,Sensor,True
224,Stable_Site,20/10/2023 19:09:16,Off,Good,Current Data,,,Sensor,True
225,Stable_Site,20/10/2023 19:11:32,In Operation,Good,Current Data,,,Sensor,True
226,Stable_Site,20/10/2023 19:13:39,Off,Good,Current Data,,,Sensor,True
227,Stable_Site,20/10/2023 19:16:10,In Operation,Good,Current Data,,,Sensor,True
228,Stable_Site,20/10/2023 19:19:04,Off,Good,Current Data,,,Sensor,True
229,Stable_Site,20/10/2023 19:20:59,In Operation,Good,Current Data,,,Sensor,True
230,Stable_Site,21/10/2023 08:04:15,In Operation,Good,Current Data,,,Sensor,True
231,Stable_Site,21/10/2023 08:06:08,Off,Good,Current Data,,,Sensor,True
232,Stable_Site,21/10/2023 08:08:26,In Operation,Good,Current Data,,,Sensor,True
233,Stable_Site,21/10/2023 08:11:00,Off,Good,Current Data,,,Sensor,True
234,Stable_Site,21/10/2023 08:12:55,In Operation,Good,Current Data,,,Sensor,True
235,Stable_Site,21/10/2023 08:15:07,Off,Good,Current Data,,,Sensor,True
236,Stable_Site,21/10/2023 08:18:04,In Operation,Good,Current Data,,,Sensor,True
237,Stable_Site,21/10/2023 08:21:03,Off,Good,Current Data,,,Sensor,True
238,Stable_Site,21/10/2023 08:22:57,In Operation,Good,Current Data,,,Sensor,True
239,Stable_Site,21/10/2023 08:25:03,Off,Good,Current Data,,,Sensor,True
240,Stable_Site,21/10/2023 08:27:18,In Operation,Good,Current Data,,,Sensor,True
241,Stable_Site,21/10/2023 08:29:13,Off,Good,Current Data,,,Sensor,True
242,Stable_Site,22/10/2023 00:41:00,Off,Good,Current Data,,,Sensor,True
243,Stable_Site,22/10/2023 00:43:31,In Operation,Good,Current Data,,,Sensor,True
244,Stable_Site,22/10/2023 00:46:05,Off,Good,Current Data,,,Sensor,True
245,Stable_Site,22/10/2023 00:48:08,In Operation,Good,Current Data,,,Sensor,True
246,Stable_Site,22/10/2023 00:50:08,Off,Good,Current Data,,,Sensor,True
247,Stable_Site,22/10/2023 00:52:18,In Operation,Good,Current Data,,,Sensor,True
248,Stable_Site,22/10/2023 00:55:02,Off,Good,Current Data,,,Sensor,True
249,Stable_Site,22/10/2023 00:57:17,In Operation,Good,Current Data,,,Sensor,True
250,Stable_Site,22/10/2023 00:59:16,Off,Good,Current Data,,,Sensor,True
251,Stable_Site,22/10/2023 01:01:38,In Operation,Good,Current Data,,,Sensor,True
252,Stable_Site,22/10/2023 01:04:36,Off,Good,Current Data,,,Sensor,True
253,Stable_Site,22/10/2023 01:07:01,In Operation,Good,Current Data,,,Sensor,True
254,Stable_Site,22/10/2023 01:09:24,Off,Good,Current Data,,,Sensor,True
255,Stable_Site,22/10/2023 01:12:12,In Operation,Good,Current Data,,,Sensor,True
256,Stable_Site,22/10/2023 01:14:08,Off,Good,Current Data,,,Sensor,True
257,Stable_Site,23/10/2023 18:20:19,Off,Good,Current Data,,,Sensor,True
258,Stable_Site,23/10/2023 18:22:46,In Operation,Good,Current Data,,,Sensor,True
259,Stable_Site,23/10/2023 18:25:25,Off,Good,Current Data,,,Sensor,True
260,Stable_Site,23/10/2023 18:27:18,In Operation,Good,Current Data,,,Sensor,True
261,Stable_Site,23/10/2023 18:30:07,Off,Good,Current Data,,,Sensor,True
262,Stable_Site,23/10/2023 18:32:41,In Operation,Good,Current Data,,,Sensor,True
263,Stable_Site,23/10/2023 18:35:41,Off,Good,Current Data,,,Sensor,True
264,Stable_Site,23/10/2023 18:37:48,In Operation,Good,Current Data,,,Sensor,True
265,Stable_Site,23/10/2023 18:39:38,Off,Good,Current Data,,,Sensor,True
266,Stable_Site,23/10/2023 18:41:28,In Operation,Good,Current Data,,,Sensor,True
267,Stable_Site,23/10/2023 18:43:34,Off,Good,Current Data,,,Sensor,True
268,Stable_Site,23/10/2023 18:46:16,In Operation,Good,Current Data,,,Sensor,True
269,Stable_Site,23/10/2023 18:48:34,Off,Good,Current Data,,,Sensor,True
270,Stable_Site,23/10/2023 18:50:59,In Operation,Good,Current Data,,,Sensor,True
271,Stable_Site,23/10/2023 18:53:21,Off,Good,Current Data,,,Sensor,True
272,Stable_Site,24/10/2023 16:34:26,Off,Good,Current Data,,,Sensor,True
273,Stable_Site,24/10/2023 16:36:51,In Operation,Good,Current Data,,,Sensor,True
274,Stable_Site,24/10/2023 16:38:32,Off,Good,Current Data,,,Sensor,True
275,Stable_Site,24/10/2023 16:40:47,In Operation,Good,Current Data,,,Sensor,True
276,Stable_Site,24/10/2023 16:42:29,Off,Good,Current Data,,,Sensor,True
277,Stable_Site,24/10/2023 16:44:37,In Operation,Good,Current Data,,,Sensor,True
278,Stable_Site,24/10/2023 16:47:26,Off,Good,Current Data,,,Sensor,True
279,Stable_Site,24/10/2023 16:49:08,In Operation,Good,Current Data,,,Sensor,True
280,Stable_Site,24/10/2023 16:51:31,Off,Good,Current Data,,,Sensor,True
281,Stable_Site,24/10/2023 16:53:45,In Operation,Good,Current Data,,,Sensor,True
282,Stable_Site,24/10/2023 16:55:30,Off,Good,Current Data,,,Sensor,True
283,Stable_Site,25/10/2023 23:59:18,In Operation,Good,Current Data,,,Sensor,True
284,Stable_Site,26/10/2023 00:02:06,Off,Good,Current Data,,,Sensor,True
285,Stable_Site,26/10/2023 00:03:47,In Operation,Good,Current Data,,,Sensor,True
286,Stable_Site,26/10/2023 00:05:35,Off,Good,Current Data,,,Sensor,True
287,Stable_Site,26/10/2023 00:08:18,In Operation,Good,Current Data,,,Sensor,True
288,Stable_Site,26/10/2023 00:10:16,Off,Good,Current Data,,,Sensor,True
289,Stable_Site,26/10/2023 00:12:05,In Operation,Good,Current Data,,,Sensor,True
290,Stable_Site,26/10/2023 00:14:36,Off,Good,Current Data,,,Sensor,True
291,Stable_Site,26/10/2023 00:16:33,In Operation,Good,Current Data,,,Sensor,True
292,Stable_Site,26/10/2023 00:19:13,Off,Good,Current Data,,,Sensor,True
293,Stable_Site,26/10/2023 00:21:18,In Operation,Good,Current Data,,,Sensor,True
294,Stable_Site,26/10/2023 00:23:14,Off,Good,Current Data,,,Sensor,True
295,Stable_Site,26/10/2023 00:25:51,In Operation,Good,Current Data,,,Sensor,True
296,Stable_Site,26/10/2023 00:27:56,Off,Good,Current Data,,,Sensor,True
297,Stable_Site,26/10/2023 21:37:39,Off,Good,Current Data,,,Sensor,True
298,Stable_Site,26/10/2023 21:40:14,In Operation,Good,Current Data,,,Sensor,True
299,Stable_Site,26/10/2023 21:43:07,Off,Good,Current Data,,,Sensor,True
300,Stable_Site,26/10/2023 21:45:46,In Operation,Good,Current Data,,,Sensor,True
301,Stable_Site,26/10/2023 21:47:26,Off,Good,Current Data,,,Sensor,True
302,Stable_Site,26/10/2023 21:50:08,In Operation,Good,Current Data,,,Sensor,True
303,Stable_Site,26/10/2023 21:52:27,Off,Good,Current Data,,,Sensor,True
304,Stable_Site,26/10/2023 21:54:17,In Operation,Good,Current Data,,,Sensor,True
305,Stable_Site,26/10/2023 21:57:16,Off,Good,Current Data,,,Sensor,True
306,Stable_Site,26/10/2023 22:00:16,In Operation,Good,Current Data,,,Sensor,True
307,Stable_Site,26/10/2023 22:02:34,Off,Good,Current Data,,,Sensor,True
308,Stable_Site,26/10/2023 22:04:50,In Operation,Good,Current Data,,,Sensor,True
309,Stable_Site,26/10/2023 22:07:44,Off,Good,Current Data,,,Sensor,True
310,Stable_Site,26/10/2023 22:10:32,In Operation,Good,Current Data,,,Sensor,True
311,Stable_Site,26/10/2023 22:12:30,Off,Good,Current Data,,,Sensor,True
312,Stable_Site,27/10/2023 17:12:03,Off,Good,Current Data,,,Sensor,True
313,Stable_Site,27/10/2023 17:14:51,In Operation,Good,Current Data,,,Sensor,True
314,Stable_Site,27/10/2023 17:17:24,Off,Good,Current Data,,,Sensor,True
315,Stable_Site,27/10/2023 17:20:19,In Operation,Good,Current Data,,,Sensor,True
316,Stable_Site,27/10/2023 17:23:16,Off,Good,Current Data,,,Sensor,True
317,Stable_Site,27/10/2023 17:25:19,In Operation,Good,Current Data,,,Sensor,True
318,Stable_Site,27/10/2023 17:28:00,Off,Good,Current Data,,,Sensor,True
319,Stable_Site,27/10/2023 17:29:46,In Operation,Good,Current Data,,,Sensor,True
320,Stable_Site,27/10/2023 17:32:34,Off,Good,Current Data,,,Sensor,True
321,Stable_Site,27/10/2023 17:34:40,In Operation,Good,Current Data,,,Sensor,True
322,Stable_Site,27/10/2023 17:37:04,Off,Good,Current Data,,,Sensor,True
323,Stable_Site,27/10/2023 17:39:04,In Operation,Good,Current Data,,,Sensor,True
324,Stable_Site,27/10/2023 17:41:40,Off,Good,Current Data,,,Sensor,True
